#vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm
3.00598242537367,-0.062813361545597,-0.007435329258442,4.56839990615845,-0.280050009489059,-0.007853982038796,1100,1143.75
3.04281769244304,-0.063341517553978,-0.001074326224625,4.48985004425049,-0.318650007247925,-0.007853982038796,1100,1143.75
3.07876886163913,-0.064235745660339,-0.005905589554459,4.40990018844604,-0.373849987983704,-0.007853982038796,1150,1056.25
3.11338680511712,-0.06356172450086,-0.013980122283101,4.19040012359619,-0.195999994874001,-0.007853982038796,1081.25,1050
3.1461915462017,-0.06377873458424,-0.003043460892513,3.92779994010925,-0.241600006818771,-0.008726646192372,1025,1131.25
3.17797902015888,-0.063441914590937,-0.007913062348962,3.82789993286133,-0.114050000905991,-0.006981316953897,1093.75,1012.5
3.2076185955368,-0.062345650550025,-0.009539655409753,3.54259991645813,-0.17790000140667,-0.005410520825535,1093.75,1012.5
3.23764043953837,-0.06099072214132,-0.016962664201856,3.71895003318787,-0.086149998009205,-0.004014257341623,1087.5,1031.25
3.26940099014159,-0.060322416281759,-0.008346524089575,3.91269993782043,-0.153600007295609,-0.001745329238474,1118.75,1118.75
3.30284859112344,-0.058901602906343,-0.016297787427902,4.13094997406006,-0.039650000631809,0.000698131683748,1118.75,1075
3.33863898169098,-0.057493295077637,-0.006862320005894,4.47084999084473,-0.120849996805191,0.002094394993037,1031.25,1056.25
3.37687475829163,-0.0571886743621,-0.002187595702708,4.77199983596802,-0.190850004553795,0.00366519135423,1031.25,1056.25
3.41407896178001,-0.055906497741437,0.003152335295454,4.73684978485107,-0.057250000536442,0.004363323096186,1025,1081.25
3.45105527626631,-0.053532459233432,-0.001403460977599,4.5735502243042,0.011250000447035,0.004363323096186,1112.5,1031.25
3.48640802194817,-0.053031838669329,0.01475232001394,4.33764982223511,-0.156599998474121,0.00366519135423,1081.25,1087.5
3.51909452116896,-0.0517736870244,0.006777718197554,4.01300001144409,-0.065849997103214,0.00366519135423,1025,1143.75
3.55034122217182,-0.051841573873968,0.011010643094778,3.86295008659363,-0.299750000238419,0.002094394993037,1025,1143.75
3.58009889203307,-0.052163238310628,0.006216179113835,3.64114999771118,-0.088249996304512,0.001396263367496,1031.25,1100
3.6094882232016,-0.051454655715788,0.010774517431855,3.72429990768433,-0.098499998450279,0.000698131683748,1062.5,1112.5
3.64063331042348,-0.050504601042738,0.006823583506048,3.91864991188049,-0.0616500005126,0,1093.75,1106.25
3.67515753684373,-0.048009874289684,0.004009984899312,4.37230014801025,0.216299995779991,0,1118.75,1131.25
3.71220381319321,-0.046684382827651,0.014091906137765,4.60400009155273,-0.004600000102073,-0.000872664619237,1118.75,1131.25
3.75097967858288,-0.045235356518657,0.002107389038429,4.88800001144409,-0.034350000321865,-0.001745329238474,1106.25,1093.75
3.79069877572513,-0.045244103639235,0.005769586656243,4.91809988021851,-0.289200007915497,-0.001745329238474,1075,1075
3.8283798821634,-0.045618942567817,-0.004001470282674,4.61429977416992,-0.242750003933907,-0.001745329238474,1168.75,1075
3.86469347507144,-0.046870372210277,-0.003609134815633,4.44729995727539,-0.464300006628036,-0.000872664619237,1168.75,1093.75
3.89841190619954,-0.048528382604154,-0.011262266896665,4.11945009231567,-0.450500011444092,-0.000872664619237,1168.75,1093.75
3.93023886324253,-0.050136075875149,-0.009974793531001,3.89965009689331,-0.340299993753433,0,1106.25,1212.5
3.96246238572198,-0.05151637885571,-0.010109325870872,4.01345014572144,-0.428400009870529,0.000698131683748,1206.25,1206.25
3.99723888625279,-0.052505963636001,-0.007901852950454,4.33834981918335,-0.330650001764297,0.000698131683748,1218.75,1181.25
4.03371888836523,-0.051747273761481,-0.006928254384547,4.6068000793457,-0.149250000715256,0.000698131683748,1175,1131.25
4.07340734335938,-0.050138781943445,-0.014797319658101,4.99235010147095,-0.045800000429153,0.000698131683748,1175,1131.25
4.11402062603109,-0.04785942041854,-6.71286397846416E-05,5.03480005264282,0.070950001478195,0.000698131683748,1137.5,1212.5
4.15644995700703,-0.045010755142413,-0.005368269514292,5.34714984893799,0.057500001043081,0.000698131683748,1243.75,1150
4.19864584621122,-0.043964448233914,0.005341661628336,5.16825008392334,-0.041299998760223,0.001396263367496,1168.75,1250
4.23875046459732,-0.041305011371435,0.004145727492869,4.84320020675659,0.110100001096725,0.001396263367496,1187.5,1125
4.27614503798212,-0.039697350896461,0.004552993923426,4.60610008239746,-0.189050003886223,0.001396263367496,1187.5,1125
4.31191144288825,-0.039408985113081,1.27182320284192E-05,4.35300016403198,-0.182549998164177,0.000698131683748,1150,1231.25
4.34552502340063,-0.040053525956985,0.003219724399969,4.05989980697632,-0.286650002002716,0.000698131683748,1156.25,1225
4.37866682680782,-0.042012783519198,0.01079245749861,4.15164995193481,-0.528199970722198,0.001396263367496,1143.75,1118.75
4.41380032667859,-0.043968240698353,0.005366523750126,4.40345001220703,-0.455399990081787,0.001396263367496,1206.25,1206.25
4.45060169731921,-0.04716965098465,0.00156359875109,4.57609987258911,-0.590099990367889,0.001396263367496,1206.25,1206.25
4.48892100794287,-0.049128781372759,0.008307457901537,4.83139991760254,-0.429650008678436,0.001396263367496,1131.25,1181.25
4.52956082275972,-0.050950934897724,0.01227264944464,5.10319995880127,-0.368999987840652,0.001396263367496,1193.75,1175
4.57036782309249,-0.050234428508227,0.00309479329735,5.03224992752075,-0.058600001037121,0.001396263367496,1206.25,1218.75
